Time,Closed Price,Volume
2022/01/10,51.7,59640904
2022/01/11,51.95,40783559
2022/01/12,52.75,43066390
2022/01/13,53.65,40548306
2022/01/14,54.55,46404888
2022/01/17,55,43715487
2022/01/18,54.55,38858826
2022/01/19,54.7,27759299
2022/01/20,54.4,30849593
2022/01/21,53.25,34875504
2022/01/24,53.3,13579536
2022/01/25,52.35,24734367
2022/01/26,53.9,28218489
2022/01/27,54.65,34398346
2022/01/28,55.6,54473659
2022/01/31,55.15,18514629
2022/02/04,57.9,62749377
2022/02/07,57.9,22200614
2022/02/08,58.8,29030418
2022/02/09,59.3,30908859
2022/02/10,58.75,18112418
2022/02/11,59,21586802
2022/02/14,59,27627724
2022/02/15,58,30082843
2022/02/16,58.5,17500241
2022/02/17,58,17562099
2022/02/18,58,17898184
2022/02/21,58.55,20272291
2022/02/22,56.45,41858089
2022/02/23,58.1,32126802
2022/02/24,56.15,40684122
2022/02/25,54.75,47466421
2022/02/28,54.1,37535471
2022/03/01,54,16963545
2022/03/02,51.2,45247755
2022/03/03,53.3,29710818
2022/03/04,51.5,63019166
2022/03/07,47.85,98387101
2022/03/08,48,37056910
2022/03/09,49.25,40079196
2022/03/10,49.15,32042021
2022/03/11,48.85,23734051
2022/03/14,49.6,30122708
2022/03/15,49.2,44267673
2022/03/16,49.2,43856918
2022/03/17,51.2,41290933
2022/03/18,51.4,21768112
2022/03/21,51.35,14342896
2022/03/22,52.35,21445004
2022/03/23,53.15,25529261
2022/03/24,52.7,11682674
2022/03/25,52.8,14829385
2022/03/28,53.75,15367982
2022/03/29,53.5,11940218
2022/03/30,53.95,20820331
2022/03/31,54.2,12951991
2022/04/01,54.35,8177523
2022/04/04,54.05,10779509
2022/04/06,53.7,17097274
2022/04/07,53.45,11573734
